Genotype,Date,Plant ,Slide,Image,SC length,,,,,Stage,good trace?,foci count,foci per chromosome,comments,quality
hei10++,15.11.19,22,1,4,54.0896,,,,,,y,,2,,1
hei10++,15.11.19,22,1,4,39.5906,,,,,,y,,1,,1
hei10++,15.11.19,22,1,7,50.9185,,,,,mid/late,y,11,,,
hei10++,15.11.19,22,1,7,61.4706,,,,,,n,,,,
hei10++,15.11.19,22,1,7,60.4822,,,,,,y,,,,
hei10++,15.11.19,22,1,7,36.3848,,,,,,n,,,,
hei10++,15.11.19,22,1,7,38.5322,,,,,,y,,,,
hei10++,15.11.19,22,1,9.1,48.7804,,,,,late,y,7,1,could improve z channel alignment for these 3 cells,1
hei10++,15.11.19,22,1,9.1,53.6034,,,,,,y,,2,,0
hei10++,15.11.19,22,1,9.1,34.492,,,,,,y,,2,,0
hei10++,15.11.19,22,1,9.1,35.3601,,,,,,y,,1,,0
hei10++,15.11.19,22,1,9.1,40.0191,,,,,,y,,1,,1
hei10++,15.11.19,22,1,9.2,37.2192,,,,,late,y,8,1,,0
hei10++,15.11.19,22,1,9.2,36.9838,,,,,,y,,1,,0
hei10++,15.11.19,22,1,9.2,63.4497,,,,,,y,,1,,0
hei10++,15.11.19,22,1,9.2,53.1977,,,,,,y,,2,,0
hei10++,15.11.19,22,1,9.2,47.3457,,,,,,y,,2,,0
hei10++,15.11.19,22,1,9.3,59.1349,,,,,late,y,10,2,,1
hei10++,15.11.19,22,1,9.3,62.0647,,,,,,y,,3,,0
hei10++,15.11.19,22,1,9.3,36.0999,,,,,,y,,2,,0
hei10++,15.11.19,22,1,9.3,43.9483,,,,,,y,,2,,1
hei10++,15.11.19,22,1,9.3,38.4007,,,,,,y,,2,,1
hei10++,15.11.19,22,1,10,55.8308,,,,,mid/late,y,14,,,
hei10++,15.11.19,22,1,10,74.5826,,,,,,y,,,,
hei10++,15.11.19,22,1,10,47.3463,,,,,,y,,,,
hei10++,15.11.19,22,1,10,68.126,,,,,,y,,,,
hei10++,15.11.19,22,1,10,62.9039,,,,,,y,,,,
hei10++,15.11.19,22,1,14.1,35.2677,,,,,late,y,11,1,,1
hei10++,15.11.19,22,1,14.1,55.1577,,,,,,y,,3,,1
hei10++,15.11.19,22,1,14.1,46.0063,,,,,,y,,2,,1
hei10++,15.11.19,22,1,14.1,40.0323,,,,,,n,,2,bad trace,0
hei10++,15.11.19,22,1,14.1,60.4938,,,,,,y,,3,,1
hei10++,15.11.19,22,1,14.2,34.8235,,,,,late,y,8,1,,1
hei10++,15.11.19,22,1,14.2,40.4739,,,,,,y,,2,,1
hei10++,15.11.19,22,1,14.2,32.9266,,,,,,y,,1,,1
hei10++,15.11.19,22,1,14.2,45.4344,,,,,,y,,3,,1
hei10++,15.11.19,22,1,14.2,45.7173,,,,,,n,,2,,0
hei10++,15.11.19,22,1,14.3,58.5062,,,,,late,y,10,2,,1
hei10++,15.11.19,22,1,14.3,49.1971,,,,,,y,,3,,0
hei10++,15.11.19,22,1,14.3,41.5234,,,,,,y,,2,,0
hei10++,15.11.19,22,1,14.3,39.1977,,,,,,y,,2,,1
hei10++,15.11.19,22,1,14.3,62.0032,,,,,,n,,2,,1
hei10++,15.11.19,22,1,14.4,62.5002,,,,,late,y,10,3,,1
hei10++,15.11.19,22,1,14.4,59.9931,,,,,,y,,2,,1
hei10++,15.11.19,22,1,14.4,41.6246,,,,,,n,,1,,0
hei10++,15.11.19,22,1,14.4,48.8231,,,,,,y,,2,,1
hei10++,15.11.19,22,1,14.4,41.2774,,,,,,y,,2,,1
hei10++,15.11.19,22,1,17.1,62.2596,,,,,mid/late,y,15,,,
hei10++,15.11.19,22,1,17.1,48.7694,,,,,,y,,,,
hei10++,15.11.19,22,1,17.1,40.1989,,,,,,y,,,,
hei10++,15.11.19,22,1,17.1,42.4007,,,,,,y,,,,
hei10++,15.11.19,22,1,17.1,53.6381,,,,,,y,,,,
hei10++,15.11.19,22,1,17.2,49.4018,,,,,late,y,8,1,,1
hei10++,15.11.19,22,1,17.2,47.6025,,,,,,y,,2,,1
hei10++,15.11.19,22,1,17.2,38.7621,,,,,,y,,2,,1
hei10++,15.11.19,22,1,17.2,37.5848,,,,,,y,,1,,1
hei10++,15.11.19,22,1,17.2,61.3603,,,,,,y,,2,,0
hei10++,19.11.19,11,3,1,69.8039,,,,,early,y,,,,
hei10++,19.11.19,11,3,1,45.3554,,,,,,y,,,,
hei10++,19.11.19,11,3,1,66.2076,,,,,,y,,,,
hei10++,19.11.19,11,3,1,52.9092,,,,,,y,,,,
hei10++,19.11.19,11,3,1,47.2842,,,,,,y,,,,
hei10++,19.11.19,11,3,2,40.8273,,,,,early,y,,,,
hei10++,19.11.19,11,3,2,45.4696,,,,,,y,,,,
hei10++,19.11.19,11,3,2,48.9981,,,,,,n,,,,
hei10++,19.11.19,11,3,2,32.392,,,,,,y,,,,
hei10++,19.11.19,11,3,2,36.6723,,,,,,y,,,,
hei10++,19.11.19,11,3,3,58.2349,,,,,mid,y,,,,
hei10++,19.11.19,11,3,3,58.5734,,,,,,y,,,,
hei10++,19.11.19,11,3,3,43.8709,,,,,,y,,,,
hei10++,19.11.19,11,3,3,35.873,,,,,,y,,,,
hei10++,19.11.19,11,3,3,38.3377,,,,,,y,,,,
hei10++,19.11.19,11,3,4,44.3147,,,,,early,y,,,,
hei10++,19.11.19,11,3,4,44.7882,,,,,,n,,,,
hei10++,19.11.19,11,3,4,64.4046,,,,,,y,,,,
hei10++,19.11.19,11,3,4,51.0685,,,,,,y,,,,
hei10++,19.11.19,11,3,4,61.6436,,,,,,n,,,,
hei10++,19.11.19,11,3,5,45.0177,,,,,early,y,,,,
hei10++,19.11.19,11,3,5,36.5451,,,,,,y,,,,
hei10++,19.11.19,11,3,5,60.2678,,,,,,y,,,,
hei10++,19.11.19,11,3,5,37.6904,,,,,,y,,,,
hei10++,19.11.19,11,3,5,50.895,,,,,,n,,,,
hei10++,19.11.19,11,3,11,44.8635,,,,,early,n,,,,
hei10++,19.11.19,11,3,11,43.8901,,,,,,y,,,,
hei10++,19.11.19,11,3,11,55.4282,,,,,,n,,,,
hei10++,19.11.19,11,3,11,65.9869,,,,,,y,,,,
hei10++,19.11.19,11,3,11,61.5903,,,,,,y,,,,
hei10++,19.11.19,11,3,14,51.4592,,,,,early,y,,,,
